LAST SEEN   TYPE      REASON                         OBJECT                                                                   MESSAGE
52m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr
52m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 9; reason: external metric s0-wva-desired-replicas(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen-qwe-3db867ce-en3-0-6b-decode-wva,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Started container vllm
52m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr to pokprod-b93r43s1
52m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j to pokprod-b93r38s3
52m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk to pokprod-b93r38s2
52m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Started container vllm
52m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
52m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Created container: vllm
52m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
52m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
52m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
51m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
51m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Add eth0 [10.131.8.231/23] from ovn-kubernetes
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 354ms (354ms including waiting). Image size: 44914390 bytes.
51m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Startup probe failed: HTTP probe failed with statuscode: 503
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Created container: routing-proxy
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Started container routing-proxy
51m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
51m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Add eth0 [10.131.6.207/23] from ovn-kubernetes
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Created container: routing-proxy
51m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Started container routing-proxy
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 373ms (373ms including waiting). Image size: 44914390 bytes.
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 352ms (352ms including waiting). Image size: 7504590361 bytes.
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Created container: preprocess
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Started container preprocess
51m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Startup probe failed: HTTP probe failed with statuscode: 503
51m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 412ms (412ms including waiting). Image size: 7504590361 bytes.
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Created container: preprocess
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Started container preprocess
51m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
51m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Add eth0 [10.128.9.180/23] from ovn-kubernetes
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Started container routing-proxy
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 362ms (362ms including waiting). Image size: 44914390 bytes.
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Created container: routing-proxy
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
51m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 330ms (330ms including waiting). Image size: 7504590361 bytes.
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Created container: preprocess
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Started container vllm
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Created container: vllm
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Started container preprocess
51m         Normal    SuccessfulCreate               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Created pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb
51m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 10; reason: external metric s0-wva-desired-replicas(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen-qwe-3db867ce-en3-0-6b-decode-wva,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
51m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled up replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 9 to 10
51m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb to pokprod-b93r39s0
51m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Started container vllm
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Created container: vllm
51m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Startup probe failed: HTTP probe failed with statuscode: 503
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Created container: vllm
51m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Startup probe failed: HTTP probe failed with statuscode: 503
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Started container vllm
51m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Created container: routing-proxy
51m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Add eth0 [10.129.6.146/23] from ovn-kubernetes
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 326ms (326ms including waiting). Image size: 44914390 bytes.
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Started container routing-proxy
51m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 585ms (585ms including waiting). Image size: 7504590361 bytes.
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Created container: preprocess
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Started container preprocess
51m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Startup probe failed: HTTP probe failed with statuscode: 503
51m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Startup probe failed: HTTP probe failed with statuscode: 503
51m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
51m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Created container: vllm
51m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Started container vllm
51m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Startup probe failed: HTTP probe failed with statuscode: 503
51m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Startup probe failed: HTTP probe failed with statuscode: 503
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Stopping container routing-proxy
42m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 8; reason: All metrics below target
42m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled down replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 10 to 8
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Stopping container vllm
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Stopping container vllm
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Stopping container routing-proxy
42m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb
42m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Stopping container routing-proxy
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Stopping container vllm
42m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr
42m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 3; reason: All metrics below target
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Stopping container vllm
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Stopping container routing-proxy
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Stopping container routing-proxy
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Stopping container vllm
42m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Stopping container vllm
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Stopping container routing-proxy
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Stopping container vllm
42m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Stopping container routing-proxy
42m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j
41m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Readiness probe failed: HTTP probe failed with statuscode: 503
41m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-ll5fb                   Readiness probe failed: HTTP probe failed with statuscode: 503
41m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dqhv7                   Readiness probe failed: Get "http://10.130.6.204:8000/v1/models": dial tcp 10.130.6.204:8000: connect: connection refused
41m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-wfw7j                   Readiness probe failed: HTTP probe failed with statuscode: 503
41m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-rhnbr                   Readiness probe failed: HTTP probe failed with statuscode: 503
41m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-z7nbr                   Readiness probe failed: HTTP probe failed with statuscode: 503
41m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-dls9s                   Readiness probe failed: HTTP probe failed with statuscode: 503
41m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-hqjgk                   Readiness probe failed: HTTP probe failed with statuscode: 503
41m         Normal    Scheduled                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Successfully assigned biran/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n to pokprod-b93r43s1
41m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 4; reason: external metric s0-wva-desired-replicas(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: qwen-qwe-3db867ce-en3-0-6b-decode-wva,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
41m         Normal    SuccessfulAttachVolume         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   AttachVolume.Attach succeeded for volume "pvc-0a24bb19-ccbd-4606-a33f-7635cc09b3fc"
41m         Normal    AddedInterface                 pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Add eth0 [10.131.6.215/23] from ovn-kubernetes
41m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Successfully pulled image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0" in 563ms (563ms including waiting). Image size: 44914390 bytes.
41m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Pulling image "ghcr.io/llm-d/llm-d-router-disagg-sidecar:v0.9.0"
41m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Created container: routing-proxy
41m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Started container routing-proxy
41m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Successfully pulled image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0" in 370ms (370ms including waiting). Image size: 7504590361 bytes.
41m         Normal    Pulling                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Pulling image "ghcr.io/llm-d/llm-d-benchmark:v0.7.0"
41m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Created container: preprocess
41m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Started container preprocess
40m         Normal    Started                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Started container vllm
40m         Normal    Pulled                         pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Container image "docker.io/vllm/vllm-openai:v0.23.0" already present on machine
40m         Normal    Created                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Created container: vllm
40m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Startup probe failed: HTTP probe failed with statuscode: 503
35m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n
35m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Stopping container routing-proxy
35m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Stopping container vllm
35m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             (combined from similar events): Scaled down replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 4 to 2
35m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 2; reason: All metrics below target
35m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Stopping container routing-proxy
35m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Stopping container vllm
35m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-cfx6n                   Readiness probe failed: HTTP probe failed with statuscode: 503
35m         Warning   Unhealthy                      pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-fjm9k                   Readiness probe failed: HTTP probe failed with statuscode: 503
24m         Normal    ScaledDown                     scaledobject/qwen-qwe-3db867ce-en3-0-6b-decode-wva                       V2 (optimizer: cost-aware)
24m         Normal    SuccessfulDelete               replicaset/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd                  Deleted pod: qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm
24m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Stopping container vllm
24m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-qwen-qwe-3db867ce-en3-0-6b-decode-wva   New size: 1; reason: All metrics below target
24m         Normal    ScalingReplicaSet              deployment/qwen-qwe-3db867ce-en3-0-6b-decode                             Scaled down replica set qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd from 2 to 1
24m         Normal    Killing                        pod/qwen-qwe-3db867ce-en3-0-6b-decode-5c6d8d69bd-jj8gm                   Stopping container routing-proxy
